# 
# cfe-sb-stats-tlm.txt
# 
# This file should have the following comma delimited fields:
#   1. Data item description
#   2. Offset of data item in packet
#   3. Length of data item
#   4. Python data type of item ( using python struct library )
#   5. Display type of item ( Currently Dec, Hex, Str, Enm ) 
#   6. Display string for enumerated value 0 ( or NULL if none ) 
#   7. Display string for enumerated value 1 ( or NULL if none ) 
#   8. Display string for enumerated value 2 ( or NULL if none ) 
#   9. Display string for enumerated value 3 ( or NULL if none ) 
# 
#  Note(1): A line that begins with # is a comment
#  Note(2): Remove any blank lines from the end of the file
#
50:  Depth,             472,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
50:  In Use,            474,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
50:  Peak In Use,       476,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
51:  Pipe ID,           478,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
51:  Depth,             480,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
51:  In Use,            482,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
51:  Peak In Use,       484,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
52:  Pipe ID,           486,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
52:  Depth,             488,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
52:  In Use,            490,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
52:  Peak In Use,       492,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
53:  Pipe ID,           494,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
53:  Depth,             496,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
53:  In Use,            498,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
53:  Peak In Use,       500,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
54:  Pipe ID,           502,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
54:  Depth,             504,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
54:  In Use,            506,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
54:  Peak In Use,       508,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
55:  Pipe ID,           510,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
55:  Depth,             512,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
55:  In Use,            514,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
55:  Peak In Use,       516,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
56:  Pipe ID,           518,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
56:  Depth,             520,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
56:  In Use,            522,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
56:  Peak In Use,       524,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
57:  Pipe ID,           526,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
57:  Depth,             528,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
57:  In Use,            530,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
57:  Peak In Use,       532,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
58:  Pipe ID,           534,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
58:  Depth,             536,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
58:  In Use,            538,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
58:  Peak In Use,       540,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
59:  Pipe ID,           542,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
59:  Depth,             544,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
59:  In Use,            546,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
59:  Peak In Use,       548,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
60:  Pipe ID,           550,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
60:  Depth,             552,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
60:  In Use,            554,     2,      H,  Dec,    NULL,   NULL,       NULL,   NULL
60:  Peak In Use,       556,     2,      B,  Dec,    NULL,   NULL,       NULL,   NULL
61:  Pipe ID,           558,     1,      B,  Dec,    NULL,   NULL,       NULL,   NULL
